iter	RMSE
175	0.07238506703
176	0.07210576931
177	0.07178465398
178	0.07146748153
179	0.07116618926
180	0.07089640286
181	0.07066552655
182	0.07048733478
183	0.07031244957
184	0.07005153982
185	0.06968888651
186	0.06949713143
187	0.06927914953
188	0.06910522201
189	0.06885464424
190	0.0686291783
191	0.06836939522
192	0.06816103895
193	0.0679399642
194	0.06763964391
195	0.0674384944
196	0.06719965157
197	0.06696175399
198	0.06662527618
199	0.06628091266
200	0.06609402901
201	0.06589911274
202	0.06573385675
203	0.06561956362
204	0.06547063972
205	0.06528710798
206	0.06506708839
207	0.06497290965
208	0.06478093339
209	0.06459152391
210	0.06448224718
211	0.0643467714
212	0.06409536374
213	0.06395075434
214	0.06378654309
215	0.06349417934
216	0.06320129289
217	0.06305973349
218	0.06280730124
219	0.06262163856
220	0.0624988454
221	0.06198514837
222	0.06177312519
223	0.06154733646
224	0.06137475589
225	0.06125339829
226	0.0608297638
227	0.06058831555
228	0.06036058071
229	0.06017511127
230	0.06000733575
231	0.05960601195
232	0.0594770659
233	0.05909826022
234	0.05895817063
235	0.05884031149
236	0.05864788424
237	0.05856902052
238	0.05849944659
239	0.05828671853
240	0.05807184198
241	0.05796213828
242	0.05775091639
243	0.05762141998
244	0.05751954129
245	0.05742883232
246	0.05729885379
247	0.0569583918
248	0.05679330604
249	0.05660204736
250	0.05635460795
251	0.05604821662
252	0.05588193711
253	0.05574686126
254	0.05544205267
255	0.05534728235
256	0.05521117843
257	0.0550718456
258	0.05491061675
259	0.05476667752
260	0.05464378594
261	0.05434564504
262	0.05425262481
263	0.05406067503
264	0.05392034634
265	0.05377340552
266	0.05357369666
267	0.05333022858
268	0.05325066167
269	0.05302955752
270	0.05292561197
271	0.05273238813
272	0.05251268042
273	0.05231741844
274	0.05221627018
275	0.05206967924
276	0.05194973388
277	0.05183494366
278	0.05171118119
279	0.05151820158
280	0.05141324135
281	0.05121402586
282	0.05109216028
283	0.0509723517
284	0.05088693925
285	0.05078487055
286	0.05065420197
287	0.05047953616
288	0.05028395013
289	0.05003473831
290	0.04992469492
291	0.04975828181
292	0.04964598125
293	0.04950893173
294	0.04931635557
295	0.04917065952
296	0.04906658899
297	0.04897299298
298	0.04887176322
299	0.04873570647
300	0.04864645058
301	0.04855780751
302	0.04837720445
303	0.04829342143
304	0.04818580827
305	0.04804096742
306	0.04793728107
307	0.04775287561
308	0.0476515337
309	0.04759017717
310	0.04752478531
311	0.04736742559
312	0.0472347452
313	0.0471139452
314	0.04702097931
315	0.04689431766
316	0.04672736507
317	0.0466360995
318	0.04653735386
319	0.04644863925
320	0.04636616171
321	0.04626105769
322	0.04614644294
323	0.046008622
324	0.04593020518
325	0.04584447824
326	0.04575264522
327	0.04556694458
328	0.04547827041
329	0.04537193633
330	0.04524967589
331	0.04518229992
332	0.04505979066
333	0.04498204001
334	0.04492894196
335	0.04485424876
336	0.04474329208
337	0.04454562891
338	0.04448201935
339	0.04439489978
340	0.04433366815
341	0.04425551988
342	0.04418423798
343	0.04408950162
344	0.04402529591
345	0.04390990382
346	0.04381033888
347	0.04374488207
348	0.04367609313
349	0.04357853259
350	0.04351989231
351	0.04343821723
352	0.04329673072
353	0.04321536614
354	0.04310386444
355	0.04298232298
356	0.04286176657
357	0.04277788713
358	0.04270024208
359	0.04261921167
360	0.04256663244
361	0.042433172
362	0.04232947086
363	0.04224126745
364	0.04212104165
365	0.0420443215
366	0.04193760638
367	0.04186252722
368	0.04176091816
369	0.04162374207
370	0.04151692557
371	0.04144586723
372	0.04132865768
373	0.04125448695
374	0.04116957919
375	0.04112795898
376	0.04105615622
377	0.04097969505
378	0.04089424863
379	0.04079978316
380	0.04072779458
381	0.04065700226
382	0.04059424452
383	0.04053134588
384	0.04046307084
385	0.04033919199
386	0.04021787753
387	0.04015381406
388	0.04009456309
389	0.04002376598
390	0.03995687578
391	0.03991271819
392	0.03981278456
393	0.0396917455
394	0.03958976514
395	0.03954054074
396	0.03945408646
397	0.03938417153
398	0.03925749919
399	0.0391564544
400	0.03910650253
401	0.03903589245
402	0.03897712525
403	0.03890579588
404	0.03882860043
405	0.03879909218
406	0.038712238
407	0.03865962911
408	0.03857023435
409	0.03853189294
410	0.03828674544
411	0.03822330078
412	0.03814765353
413	0.03810210477
414	0.03801950566
415	0.03792362591
416	0.03787568326
417	0.037802582
418	0.03762767695
419	0.03755442187
420	0.03737163826
421	0.037275313
422	0.03720147323
423	0.03715077082
424	0.03707018196
425	0.03700273898
426	0.03686261666
427	0.03680073262
428	0.03676327523
429	0.03668264123
430	0.03661583183
431	0.03650490141
432	0.03645477862
433	0.03637118935
434	0.03628804094
435	0.03622243869
436	0.03612450462
437	0.03604639695
438	0.0360268178
439	0.03596007886
440	0.03586592515
441	0.03577183853
442	0.03565210447
443	0.03561869959
444	0.03552763254
445	0.0354827519
446	0.03543382779
447	0.03537476362
448	0.0353153509
449	0.03524981311
